,date,stop_id,am_rush,pm_rush,full_day
0,2018-01-01,place-alfcl,315,440,1416
1,2018-01-01,place-andrw,347,373,1310
2,2018-01-01,place-aport,885,945,3236
3,2018-01-01,place-aqucl,114,939,1801
4,2018-01-01,place-armnl,158,683,1576
5,2018-01-01,place-asmnl,389,452,1682
6,2018-01-01,place-astao,36,371,633
7,2018-01-01,place-bbsta,307,1547,3356
8,2018-01-01,place-bmmnl,260,204,786
9,2018-01-01,place-bomnl,33,143,340
10,2018-01-01,place-boyls,217,1090,2345
11,2018-01-01,place-brdwy,132,312,838
12,2018-01-01,place-brntn,141,265,742
13,2018-01-01,place-ccmnl,102,156,435
14,2018-01-01,place-chncl,192,1017,2319
15,2018-01-01,place-cntsq,371,1262,3006
16,2018-01-01,place-coecl,376,1918,4076
17,2018-01-01,place-crtst,47,148,351
18,2018-01-01,place-davis,288,592,1671
19,2018-01-01,place-dwnxg,450,2745,5362
20,2018-01-01,place-fldcr,273,248,894
21,2018-01-01,place-forhl,716,711,2628
22,2018-01-01,place-gover,128,689,1360
23,2018-01-01,place-grnst,97,140,439
24,2018-01-01,place-haecl,595,1102,2921
25,2018-01-01,place-harsq,460,1684,3878
26,2018-01-01,place-hymnl,177,914,1975
27,2018-01-01,place-jaksn,336,373,1309
28,2018-01-01,place-jfk,323,383,1243
29,2018-01-01,place-kencl,267,639,1740
30,2018-01-01,place-knncl,115,540,1285
31,2018-01-01,place-lech,162,789,1461
32,2018-01-01,place-masta,240,417,1219
33,2018-01-01,place-mlmnl,950,603,2622
34,2018-01-01,place-mvbcl,1360,957,3505
35,2018-01-01,place-north,333,730,1982
36,2018-01-01,place-nqncy,353,211,922
37,2018-01-01,place-ogmnl,348,207,991
38,2018-01-01,place-orhte,299,247,957
39,2018-01-01,place-pktrm,295,1536,3312
40,2018-01-01,place-portr,182,425,1282
41,2018-01-01,place-prmnl,134,990,1852
42,2018-01-01,place-qamnl,151,150,545
43,2018-01-01,place-qnctr,564,435,1659
44,2018-01-01,place-rbmnl,308,216,925
45,2018-01-01,place-rcmnl,139,238,678
46,2018-01-01,place-river,52,83,274
47,2018-01-01,place-rugg,405,441,1463
48,2018-01-01,place-sbmnl,165,193,680
49,2018-01-01,place-sdmnl,12,33,58
50,2018-01-01,place-shmnl,120,118,421
51,2018-01-01,place-smmnl,154,103,493
52,2018-01-01,place-spmnl,14,209,343
53,2018-01-01,place-sstat,574,2345,5679
54,2018-01-01,place-state,202,1035,2097
55,2018-01-01,place-sull,595,555,1873
56,2018-01-01,place-symcl,85,163,429
57,2018-01-01,place-tumnl,252,531,1340
58,2018-01-01,place-welln,281,329,1112
59,2018-01-01,place-wimnl,160,161,512
60,2018-01-01,place-wlsta,395,148,862
61,2018-01-01,place-wondl,523,433,1687
62,2018-01-01,place-wtcst,39,46,166
63,2018-01-02,place-alfcl,6032,1918,9445
64,2018-01-02,place-andrw,1932,1326,4477
65,2018-01-02,place-aport,1938,1320,5302
66,2018-01-02,place-aqucl,256,2200,3623
67,2018-01-02,place-armnl,464,4046,5737
68,2018-01-02,place-asmnl,3267,1231,6404
69,2018-01-02,place-astao,537,1140,2219
70,2018-01-02,place-bbsta,3231,7171,13326
71,2018-01-02,place-bmmnl,1361,354,2357
72,2018-01-02,place-bomnl,134,1149,1766
73,2018-01-02,place-boyls,497,1934,3707
74,2018-01-02,place-brdwy,1897,1920,4909
75,2018-01-02,place-brntn,2154,459,3614
76,2018-01-02,place-ccmnl,592,838,2015
77,2018-01-02,place-chncl,558,2411,4838
78,2018-01-02,place-cntsq,3674,4732,11166
79,2018-01-02,place-coecl,1484,5428,9854
80,2018-01-02,place-crtst,163,1331,1926
81,2018-01-02,place-davis,5470,1474,8496
82,2018-01-02,place-dwnxg,1706,13236,20313
83,2018-01-02,place-fldcr,1325,714,3061
84,2018-01-02,place-forhl,5009,1608,9189
85,2018-01-02,place-gover,522,3784,5697
86,2018-01-02,place-grnst,1449,360,2309
87,2018-01-02,place-haecl,2348,2983,7908
88,2018-01-02,place-harsq,3672,6249,13782
89,2018-01-02,place-hymnl,898,2288,4595
90,2018-01-02,place-jaksn,1763,931,3821
91,2018-01-02,place-jfk,1647,1434,4290
92,2018-01-02,place-kencl,1166,2021,4543
93,2018-01-02,place-knncl,1043,7014,9835
94,2018-01-02,place-lech,1461,1936,4574
95,2018-01-02,place-masta,1077,1674,3863
96,2018-01-02,place-mlmnl,5372,1161,8591
97,2018-01-02,place-mvbcl,3913,1955,8164
98,2018-01-02,place-north,5931,4770,12654
99,2018-01-02,place-nqncy,3092,1221,5339
100,2018-01-02,place-ogmnl,4063,367,5260
101,2018-01-02,place-orhte,1690,497,3039
102,2018-01-02,place-pktrm,1210,7736,11924
103,2018-01-02,place-portr,4010,1048,6348
104,2018-01-02,place-prmnl,458,1665,3102
105,2018-01-02,place-qamnl,2271,473,3372
106,2018-01-02,place-qnctr,3826,972,6218
107,2018-01-02,place-rbmnl,1100,468,2332
108,2018-01-02,place-rcmnl,882,874,2433
109,2018-01-02,place-river,639,264,1143
110,2018-01-02,place-rugg,1196,2994,5709
111,2018-01-02,place-sbmnl,1615,410,2582
112,2018-01-02,place-sdmnl,124,40,204
113,2018-01-02,place-shmnl,921,219,1503
114,2018-01-02,place-smmnl,964,231,1664
115,2018-01-02,place-spmnl,78,428,634
116,2018-01-02,place-sstat,6704,11983,22795
117,2018-01-02,place-state,636,8556,11727
118,2018-01-02,place-sull,2959,1692,6319
119,2018-01-02,place-symcl,349,426,1159
120,2018-01-02,place-tumnl,763,2943,5012
121,2018-01-02,place-welln,3326,943,5404
122,2018-01-02,place-wimnl,620,338,1417
123,2018-01-02,place-wlsta,1799,297,2729
124,2018-01-02,place-wondl,3691,591,5560
125,2018-01-02,place-wtcst,91,602,840
126,2018-01-03,place-alfcl,6855,2642,11331
127,2018-01-03,place-andrw,2368,1793,5745
128,2018-01-03,place-aport,2291,1647,6267
129,2018-01-03,place-aqucl,294,2363,3890
130,2018-01-03,place-armnl,585,4518,6745
131,2018-01-03,place-asmnl,4144,1469,7914
132,2018-01-03,place-astao,617,1343,2691
133,2018-01-03,place-bbsta,3670,7954,15147
134,2018-01-03,place-bmmnl,1606,425,2812
135,2018-01-03,place-bomnl,123,1377,2101
136,2018-01-03,place-boyls,572,2333,4692
137,2018-01-03,place-brdwy,2008,2360,5612
138,2018-01-03,place-brntn,2410,646,4233
139,2018-01-03,place-ccmnl,846,1011,2705
140,2018-01-03,place-chncl,640,3187,6430
141,2018-01-03,place-cntsq,4559,5937,14042
142,2018-01-03,place-coecl,1923,6337,11956
143,2018-01-03,place-crtst,180,1332,2011
144,2018-01-03,place-davis,6198,1599,9533
145,2018-01-03,place-dwnxg,1835,13784,20191
146,2018-01-03,place-fldcr,2098,1007,4527
147,2018-01-03,place-forhl,6468,2288,11474
148,2018-01-03,place-gover,630,4467,6800
149,2018-01-03,place-grnst,1787,512,2946
150,2018-01-03,place-haecl,2810,3601,9714
151,2018-01-03,place-harsq,4538,7266,16478
152,2018-01-03,place-hymnl,1068,2696,5486
153,2018-01-03,place-jaksn,2309,1317,4970
154,2018-01-03,place-jfk,1999,2250,5878
155,2018-01-03,place-kencl,1389,2497,5562
156,2018-01-03,place-knncl,1294,10759,14777
157,2018-01-03,place-lech,1638,2130,4911
158,2018-01-03,place-masta,1382,2101,4973
159,2018-01-03,place-mlmnl,6285,1487,10176
160,2018-01-03,place-mvbcl,4920,2392,10098
161,2018-01-03,place-north,6368,5174,17185
162,2018-01-03,place-nqncy,3454,1399,6015
163,2018-01-03,place-ogmnl,4510,698,6233
164,2018-01-03,place-orhte,2034,679,3664
165,2018-01-03,place-pktrm,1385,9696,14650
166,2018-01-03,place-portr,4654,1324,7364
167,2018-01-03,place-prmnl,479,1822,3383
168,2018-01-03,place-qamnl,3053,621,4490
169,2018-01-03,place-qnctr,4599,1212,7558
170,2018-01-03,place-rbmnl,1269,557,2698
171,2018-01-03,place-rcmnl,1149,1454,3846
172,2018-01-03,place-river,605,377,1271
173,2018-01-03,place-rugg,1635,3672,7462
174,2018-01-03,place-sbmnl,1980,560,3158
175,2018-01-03,place-sdmnl,189,90,343
176,2018-01-03,place-shmnl,1193,400,2061
177,2018-01-03,place-smmnl,1294,279,2116
178,2018-01-03,place-spmnl,105,440,728
179,2018-01-03,place-sstat,6848,13564,25645
180,2018-01-03,place-state,844,9333,13890
181,2018-01-03,place-sull,3594,2328,7955
182,2018-01-03,place-symcl,402,582,1370
183,2018-01-03,place-tumnl,982,3435,6160
184,2018-01-03,place-welln,3989,1295,6594
185,2018-01-03,place-wimnl,821,496,1848
186,2018-01-03,place-wlsta,2143,338,3188
187,2018-01-03,place-wondl,2505,657,4215
188,2018-01-03,place-wtcst,98,591,865
189,2018-01-04,place-alfcl,847,223,1510
190,2018-01-04,place-andrw,838,316,1802
191,2018-01-04,place-aport,912,305,1941
192,2018-01-04,place-aqucl,166,10,411
193,2018-01-04,place-armnl,320,358,1247
194,2018-01-04,place-asmnl,988,219,1998
195,2018-01-04,place-astao,132,58,409
196,2018-01-04,place-bbsta,801,918,3044
197,2018-01-04,place-bmmnl,432,90,840
198,2018-01-04,place-bomnl,86,179,662
199,2018-01-04,place-boyls,251,319,962
200,2018-01-04,place-brdwy,702,286,1514
201,2018-01-04,place-brntn,418,98,939
202,2018-01-04,place-ccmnl,194,88,477
203,2018-01-04,place-chncl,288,473,1533
204,2018-01-04,place-cntsq,968,584,2534
205,2018-01-04,place-coecl,566,528,2114
206,2018-01-04,place-crtst,104,98,441
207,2018-01-04,place-davis,1081,296,1851
208,2018-01-04,place-dwnxg,867,1390,4291
209,2018-01-04,place-fldcr,546,120,1073
210,2018-01-04,place-forhl,1494,339,2829
211,2018-01-04,place-gover,224,324,1074
212,2018-01-04,place-grnst,295,69,525
213,2018-01-04,place-haecl,1008,455,2476
214,2018-01-04,place-harsq,957,683,2804
215,2018-01-04,place-hymnl,308,285,1087
216,2018-01-04,place-jaksn,592,201,1264
217,2018-01-04,place-jfk,515,140,967
218,2018-01-04,place-kencl,393,352,1273
219,2018-01-04,place-knncl,441,619,1868
220,2018-01-04,place-lech,351,4,601
221,2018-01-04,place-masta,435,322,1380
222,2018-01-04,place-mlmnl,1393,218,2304
223,2018-01-04,place-mvbcl,1721,412,3162
224,2018-01-04,place-north,1121,620,2918
225,2018-01-04,place-nqncy,542,258,1214
226,2018-01-04,place-ogmnl,750,72,1111
227,2018-01-04,place-orhte,549,6,752
228,2018-01-04,place-pktrm,500,692,2154
229,2018-01-04,place-portr,693,232,1284
230,2018-01-04,place-prmnl,180,423,1115
231,2018-01-04,place-qamnl,342,57,646
232,2018-01-04,place-qnctr,842,142,1415
233,2018-01-04,place-rbmnl,459,82,879
234,2018-01-04,place-rcmnl,234,156,708
235,2018-01-04,place-river,82,5,107
236,2018-01-04,place-rugg,624,627,2118
237,2018-01-04,place-sbmnl,324,86,584
238,2018-01-04,place-sdmnl,31,2,45
239,2018-01-04,place-shmnl,263,50,452
240,2018-01-04,place-smmnl,277,40,517
241,2018-01-04,place-spmnl,40,46,179
242,2018-01-04,place-sstat,1350,1238,4673
243,2018-01-04,place-state,445,1018,2829
244,2018-01-04,place-sull,976,233,1974
245,2018-01-04,place-symcl,164,34,291
246,2018-01-04,place-tumnl,418,577,1788
247,2018-01-04,place-welln,740,173,1330
248,2018-01-04,place-wimnl,267,9,402
249,2018-01-04,place-wlsta,427,62,664
250,2018-01-04,place-wondl,840,122,1466
251,2018-01-04,place-wtcst,39,58,204
252,2018-01-05,place-alfcl,4123,2013,7486
253,2018-01-05,place-andrw,1831,1155,4113
254,2018-01-05,place-aport,1647,1439,4997
255,2018-01-05,place-aqucl,91,894,1562
256,2018-01-05,place-armnl,541,2972,4921
257,2018-01-05,place-asmnl,2625,985,5298
258,2018-01-05,place-astao,356,866,1679
259,2018-01-05,place-bbsta,2521,5450,10905
260,2018-01-05,place-bmmnl,978,311,1921
261,2018-01-05,place-bomnl,93,986,1527
262,2018-01-05,place-boyls,470,1753,3708
263,2018-01-05,place-brdwy,1820,1611,4452
264,2018-01-05,place-brntn,1549,512,2839
265,2018-01-05,place-ccmnl,558,426,1359
266,2018-01-05,place-chncl,453,2106,4362
267,2018-01-05,place-cntsq,3655,4113,10864
268,2018-01-05,place-coecl,1422,4534,8723
269,2018-01-05,place-crtst,157,812,1400
270,2018-01-05,place-davis,4884,1424,8107
271,2018-01-05,place-dwnxg,1392,11211,17553
272,2018-01-05,place-fldcr,1330,662,3001
273,2018-01-05,place-forhl,4350,1666,8342
274,2018-01-05,place-gover,434,3265,4940
275,2018-01-05,place-grnst,1036,429,1864
276,2018-01-05,place-haecl,2256,2938,8122
277,2018-01-05,place-harsq,3560,5258,12739
278,2018-01-05,place-hymnl,859,2030,4370
279,2018-01-05,place-jaksn,1430,912,3421
280,2018-01-05,place-jfk,1439,938,3215
281,2018-01-05,place-kencl,996,2045,4265
282,2018-01-05,place-knncl,934,6471,9326
283,2018-01-05,place-lech,1246,1604,3774
284,2018-01-05,place-masta,1047,1343,3510
285,2018-01-05,place-mlmnl,4104,1081,6801
286,2018-01-05,place-mvbcl,3456,1800,7415
287,2018-01-05,place-north,3348,4191,12689
288,2018-01-05,place-nqncy,2032,882,3686
289,2018-01-05,place-ogmnl,2811,646,4180
290,2018-01-05,place-orhte,780,218,1340
291,2018-01-05,place-pktrm,1063,6047,9945
292,2018-01-05,place-portr,3269,1291,5860
293,2018-01-05,place-prmnl,455,1639,3194
294,2018-01-05,place-qamnl,1614,328,2427
295,2018-01-05,place-qnctr,2830,870,4870
296,2018-01-05,place-rbmnl,892,391,2002
297,2018-01-05,place-rcmnl,565,769,1934
298,2018-01-05,place-river,401,292,891
299,2018-01-05,place-rugg,1226,2146,4667
300,2018-01-05,place-sbmnl,1206,470,2198
301,2018-01-05,place-sdmnl,110,72,242
302,2018-01-05,place-shmnl,818,241,1444
303,2018-01-05,place-smmnl,718,207,1322
304,2018-01-05,place-spmnl,59,9,74
305,2018-01-05,place-sstat,4323,8803,16886
306,2018-01-05,place-state,604,6480,9610
307,2018-01-05,place-sull,2722,1734,6041
308,2018-01-05,place-symcl,350,388,1329
309,2018-01-05,place-tumnl,694,2512,4520
310,2018-01-05,place-welln,2462,1027,4521
311,2018-01-05,place-wimnl,469,180,980
312,2018-01-05,place-wlsta,1395,266,2129
313,2018-01-05,place-wondl,2375,530,3966
314,2018-01-05,place-wtcst,99,362,617
315,2018-01-06,place-alfcl,634,989,2875
316,2018-01-06,place-andrw,615,610,2148
