,ID,Loc_GTFS_Stop_ID,Restriction_Status,Restriction_Reason,Track_Direction,Line,Branch,Track_Name,Location_Type,Restriction_Speed_MPH,Restriction_Distance_Feet,Line_Restricted_Track_Pct,Systemwide_Restricted_Track_Pct,SR_Restriction_Distance_Span,Restriction_Path,start_date,end_date,Restriction_Length_Days
0,20,place-aport,Active Restriction,,WB,Blue Line,Blue Line,BL WB,Station,10 mph,100.99999999999908,0.0015327554390054,0.00014021982025207234,Multi-Segment,End,2023-10-17,2023-10-19,2 days
1,20,place-wimnl | place-aport,Active Restriction,,WB,Blue Line,Blue Line,BL WB,Between Stations,10 mph,699.0000000000009,0.0106078817016317,0.0009704322213485106,Multi-Segment,Start,2023-10-17,2023-10-19,2 days
2,21,place-mvbcl | place-aport,Active Restriction,Track,EB,Blue Line,Blue Line,BL EB,Between Stations,10 mph,400.0,0.0060703185703185,0.0005553260208002915,Single Segment,Start|End,2023-12-14,2023-12-31,17 days
3,43,place-astao | place-welln,Active Restriction,Track,NB,Orange Line,Orange Line,OL NB,Between Stations,10 mph,1000.0,0.0084025705143717,0.0013883150520007,Single Segment,Start|End,2023-10-03,2023-10-12,9 days
4,44,place-rugg,Active Restriction,Track,NB,Orange Line,Orange Line,OL NB,Station,25 mph,400.0,0.0033610282057487,0.0005553260208002915,Multi-Segment,Start,2023-10-17,2023-12-21,65 days
5,44,place-rugg | place-masta,Active Restriction,Track,NB,Orange Line,Orange Line,OL NB,Between Stations,25 mph,100.0,0.0008402570514371758,0.00013883150520007287,Multi-Segment,End,2023-10-17,2023-12-21,65 days
6,45,place-bbsta,Active Restriction,Track,NB,Orange Line,Orange Line,OL NB,Station,25 mph,300.0,0.0025207711543115,0.0004164945156002186,Multi-Segment,Start,2023-10-20,2023-12-31,72 days
7,45,place-bbsta | place-tumnl,Active Restriction,Track,NB,Orange Line,Orange Line,OL NB,Between Stations,25 mph,600.0,0.005041542308623,0.0008329890312004372,Multi-Segment,End,2023-10-20,2023-12-31,72 days
8,46,place-bbsta,Active Restriction,Track,SB,Orange Line,Orange Line,OL SB,Station,25 mph,300.9999999999991,0.0025291737248258,0.0004178828306522181,Multi-Segment,End,2023-10-20,2023-12-20,61 days
9,46,place-tumnl | place-bbsta,Active Restriction,Track,SB,Orange Line,Orange Line,OL SB,Between Stations,25 mph,599.0000000000009,0.0050331397381086,0.0008316007161484377,Multi-Segment,Start,2023-10-20,2023-12-20,61 days
10,47,place-rcmnl,Active Restriction,Track,SB,Orange Line,Orange Line,OL SB,Station,25 mph,100.99999999999908,0.0008486596219515398,0.00014021982025207234,Multi-Segment,End,2023-10-20,2023-12-31,72 days
11,47,place-rugg | place-rcmnl,Active Restriction,Track,SB,Orange Line,Orange Line,OL SB,Between Stations,25 mph,299.0000000000009,0.0025123685837971,0.0004151062005482192,Multi-Segment,Start,2023-10-20,2023-12-31,72 days
